,grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
2113,30732,92493.7599364506,6627117.57025318,1308152619548.329,"POLYGON ((957035.230213883 1943665.54807064, 957035.230213883 1943765.54807064, 957135.230213883 1943765.54807064, 957135.230213883 1943665.54807064, 957035.230213883 1943665.54807064))",서초구,서울특별시 서초구 서초동 1660-6번지,127.014949393,37.492039508,957121.6558719032,1943753.635046092,"강우빌딩, 크란츠빌딩, 한림빌딩, 케이원빌딩, 일광빌딩",2383.2,1341.6399999999999,12407.55,51,1.0,104237.0,126605.0,29.339999999999996,26806000.0,21.0,20
2114,30733,92476.92240780267,6914234.29031543,1336891048189.6824,"POLYGON ((957035.230213883 1943765.54807064, 957035.230213883 1943865.54807064, 957135.230213883 1943865.54807064, 957135.230213883 1943765.54807064, 957035.230213883 1943765.54807064))",서초구,서울특별시 서초구 서초동 1660-2번지,127.014992619,37.492197853,957125.5675758226,1943771.182711016,"디앤에이(DNA)빌딩, 서원빌딩, 메종스터디빌, 현우빌딩, 도원빌딩, 금옥빌딩",2674.89,1319.8,7243.74,48,0.375,90078.0,108270.0,15.592500000000001,17161250.0,31.25,20
2115,30734,90814.35433720805,7136834.695932746,1357180137080.359,"POLYGON ((957035.230213883 1943865.54807064, 957035.230213883 1943965.54807064, 957135.230213883 1943965.54807064, 957135.230213883 1943865.54807064, 957035.230213883 1943865.54807064))",서초구,서울특별시 서초구 서초동 1673-2번지,127.014938904,37.493796368,957121.7330272842,1943948.5521076613,"강한미크리닉빌딩, 교대역인앤인오피스, 일이타워, 제일빌딩",2812.4,1514.9055,18782.0254,65,1.2,151888.0,230845.0,46.88,39236000.0,13.6,20
2116,30735,89943.62234707792,6989702.767046723,1387895937054.7537,"POLYGON ((957035.230213883 1943965.54807064, 957035.230213883 1944065.54807064, 957135.230213883 1944065.54807064, 957135.230213883 1943965.54807064, 957035.230213883 1943965.54807064))",서초구,서울특별시 서초구 서초동 1695-26번지,127.014701856,37.494843626,957101.3774298944,1944064.846663544,"신우빌딩, 영생빌딩, 동익성봉빌딩",3363.5,1855.26,38843.89,43,2.0,228285.0,416904.0,41.03333333333333,34280000.0,22.666666666666668,20
2117,30736,90155.6076109999,6903296.661462056,1416429164895.405,"POLYGON ((957035.230213883 1944065.54807064, 957035.230213883 1944165.54807064, 957135.230213883 1944165.54807064, 957135.230213883 1944065.54807064, 957035.230213883 1944065.54807064))",서초구,서울특별시 서초구 서초동 1699-14번지,127.013995174,37.495649634,957039.3705844508,1944154.5903973875,"하림빌딩 1, 신신모터스, 효성빌딩, JH엘로펌애비뉴빌딩, 대림빌딩, 정원빌딩, 청향빌딩, 신우빌딩",4517.8,2577.12,19970.7,69,0.6666666666666666,241290.0,201189.0,21.295555555555556,18056666.666666668,20.666666666666668,20
2118,30737,90510.46208266968,6800402.730948752,1445335442002.441,"POLYGON ((957035.230213883 1944165.54807064, 957035.230213883 1944265.54807064, 957135.230213883 1944265.54807064, 957135.230213883 1944165.54807064, 957035.230213883 1944165.54807064))",서초구,서울특별시 서초구 서초동 1698-15번지,127.014527378,37.495780154,957086.4899922548,1944168.8279805337,"청림빌딩 2, 동우빌딩, 상인빌딩, 명산빌딩, 벧엘빌딩, 람코교대빌딩, 진성빌딩",4335.49,2355.55,14215.923999999999,87,0.6923076923076923,128349.0,129844.0,18.30807692307692,12100153.846153846,18.692307692307693,20
2119,30738,88934.82720982628,6740394.971939727,1473595592427.4568,"POLYGON ((957035.230213883 1944265.54807064, 957035.230213883 1944365.54807064, 957135.230213883 1944365.54807064, 957135.230213883 1944265.54807064, 957035.230213883 1944265.54807064))",서초구,서울특별시 서초구 서초동 1698-2번지,127.014036421,37.496702502,957043.6197387688,1944271.3805530616,"형남빌딩, 진정빌딩",1177.355,606.737,4695.68,25,0.6666666666666666,46485.0,31830.0,21.631,11320000.0,21.333333333333332,20
2120,30749,100234.74436230786,6193680.285739813,1616139050742.83,"POLYGON ((957035.230213883 1945365.54807064, 957035.230213883 1945465.54807064, 957135.230213883 1945465.54807064, 957135.230213883 1945365.54807064, 957035.230213883 1945365.54807064))",서초구,서울특별시 서초구 반포동 20-51번지,127.013953022,37.506625135,957041.9330791264,1945372.2724041864,베리타스타운,1000.0,499.73,4933.51,8,1.0,11982.0,70.0,22.3,13780000.0,13.0,20
2121,30767,8864.005040937529,4496.870337750869,1059920463717.8394,"POLYGON ((957135.230213883 1939765.54807064, 957135.230213883 1939865.54807064, 957235.230213883 1939865.54807064, 957235.230213883 1939765.54807064, 957135.230213883 1939765.54807064))",서초구,서울특별시 서초구 우면동 766번지,127.015457849,37.45646011,957146.2934637668,1939806.1113651928,"서초프라자, 미라쉘, 서초 디벨리움 오피스텔",4000.3,2971.32,21261.27,34,2.25,114899.0,136545.0,29.1525,7703000.0,7.0,20
2122,30768,11364.584375851437,4639.257783651948,1085291750230.6564,"POLYGON ((957135.230213883 1939865.54807064, 957135.230213883 1939965.54807064, 957235.230213883 1939965.54807064, 957235.230213883 1939865.54807064, 957135.230213883 1939865.54807064))",서초구,서울특별시 서초구 우면동 760번지,127.015929982,37.457219908,957188.4830716086,1939890.1908777668,서초 에비뉴클래식,1002.8,599.3499999999999,4970.889999999999,18,1.0,41537.0,35742.0,32.150000000000006,9349000.0,6.5,20
2123,30795,76660.59127914163,3716875.366889031,861316771627.0538,"POLYGON ((957135.230213883 1942565.54807064, 957135.230213883 1942665.54807064, 957235.230213883 1942665.54807064, 957235.230213883 1942565.54807064, 957135.230213883 1942565.54807064))",서초구,서울특별시 서초구 서초동 1449-10번지,127.015832635,37.481860821,957193.9271404028,1942623.9746010692,"한원빌딩2, 서전빌딩, 한원빌딩",3324.7,1374.6200000000001,16275.38,29,1.0,106153.0,158115.0,28.708333333333332,12474000.0,22.666666666666668,20
2124,30799,87001.1417232905,5094889.467537888,1127137898763.6875,"POLYGON ((957135.230213883 1942965.54807064, 957135.230213883 1943065.54807064, 957235.230213883 1943065.54807064, 957235.230213883 1942965.54807064, 957135.230213883 1942965.54807064))",서초구,서울특별시 서초구 서초동 1603-1번지,127.016239867,37.485832208,957232.1953058272,1943064.38860975,"블루핀타워, 대성빌딩, 로얄타워, 서초레몬",3748.5,2034.45,26116.4,69,1.5,218943.0,327556.0,49.6725,29115000.0,14.75,17
