,grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
3636,37910,40485.50507392396,3174848.5550321303,15.478797956244886,816760932654.6829,"POLYGON ((961435.230213883 1946165.54807064, 961435.230213883 1946265.54807064, 961535.230213883 1946265.54807064, 961535.230213883 1946165.54807064, 961435.230213883 1946165.54807064))",강남구,서울특별시 강남구 삼성동 165-2번지,127.064675766,37.514036756,961528.76612723,1946172.5978371487,"성도벤처타워, 은혜빌딩, 동영빌딩, 화성빌딩, 20TOWER, 영명빌딩, 서원빌딩, ELSON빌딩",4552.9,2632.34,18051.46,67,0.3,104847.0,159335.0,19.859,18812000.0,24.3,5.0
3637,37911,38887.3539795414,2985407.062856103,15.716134053802293,773229642501.3921,"POLYGON ((961435.230213883 1946265.54807064, 961435.230213883 1946365.54807064, 961535.230213883 1946365.54807064, 961535.230213883 1946265.54807064, 961435.230213883 1946265.54807064))",강남구,서울특별시 강남구 삼성동 109-18번지,127.063777065,37.515131747,961449.9073990008,1946294.4481031925,"경휘빌딩, 용진빌딩, 베페하우스, 신코빌딩, 인우빌딩",3513.3999999999996,1578.47,12276.97,40,0.5,35639.0,95124.0,18.491666666666667,18336666.666666668,21.0,4.0
3638,37912,40036.99209608279,2623369.487275736,8.325756072660948,728977845519.1198,"POLYGON ((961435.230213883 1946365.54807064, 961435.230213883 1946465.54807064, 961535.230213883 1946465.54807064, 961535.230213883 1946365.54807064, 961435.230213883 1946365.54807064))",강남구,서울특별시 강남구 삼성동 101-6번지,127.064670276,37.515882264,961529.2283189016,1946377.3476773545,NoData,308.2,152.5,670.0,4,0.0,0.0,1642.0,10.5,10470000.0,31.0,4.0
3639,37913,35551.3839717184,2462762.041433064,7.974875453554063,674243036332.8962,"POLYGON ((961435.230213883 1946465.54807064, 961435.230213883 1946565.54807064, 961535.230213883 1946565.54807064, 961535.230213883 1946465.54807064, 961435.230213883 1946465.54807064))",강남구,서울특별시 강남구 삼성동 103-10번지,127.064637131,37.517278513,961527.0160547408,1946532.266386591,홍도빌딩,171.1,85.44,434.78,5,0.0,2017.0,674.0,12.2,8428000.0,27.0,4.0
3640,37914,38569.92583945952,1921358.6088922084,7.422567691121981,634842685288.4796,"POLYGON ((961435.230213883 1946565.54807064, 961435.230213883 1946665.54807064, 961535.230213883 1946665.54807064, 961535.230213883 1946565.54807064, 961435.230213883 1946565.54807064))",강남구,서울특별시 강남구 삼성동 99-2번지,127.06454546,37.5177811,961519.1731399316,1946588.062794239,NoData,137.8,68.43,223.61,4,0.0,3264.0,1851.0,11.0,10290000.0,36.0,4.0
3641,37931,32452.81528266412,412181.0839410759,7.541152531469232,45064040439.1035,"POLYGON ((961535.230213883 1942265.54807064, 961535.230213883 1942365.54807064, 961635.230213883 1942365.54807064, 961635.230213883 1942265.54807064, 961535.230213883 1942265.54807064))",강남구,서울특별시 강남구 개포동 565-3번지,127.065708654,37.479044083,961602.1341723708,1942289.9695116037,도선여객정비공장,1954.0,265.91,975.57,4,1.0,17013.0,0.0,16.9,2679000.0,12.0,4.0
3642,37958,80320.6585602219,3159813.736202625,7.991495084205129,761012678935.3467,"POLYGON ((961535.230213883 1944965.54807064, 961535.230213883 1945065.54807064, 961635.230213883 1945065.54807064, 961635.230213883 1944965.54807064, 961535.230213883 1944965.54807064))",강남구,서울특별시 강남구 대치동 983-1번지,127.065532964,37.503340349,961599.0411224118,1944985.5493673,"S-TOWER, 태범빌딩, 중부빌딩",7087.7,4211.95,56322.229999999996,47,3.0,183056.0,426666.0,46.21,16853333.333333332,21.666666666666668,4.0
3643,37959,76350.08771408715,3479746.768674253,0.0,802406861753.5305,"POLYGON ((961535.230213883 1945065.54807064, 961535.230213883 1945165.54807064, 961635.230213883 1945165.54807064, 961635.230213883 1945065.54807064, 961535.230213883 1945065.54807064))",강남구,서울특별시 강남구 대치동 1006-18번지,127.065919978,37.504780114,961633.9848290596,1945145.124158704,"대원빌딩, 동원빌딩",4649.7,2583.5899999999997,20478.64,23,1.0,116425.0,160436.0,25.75,17666666.666666668,29.0,4.0
3644,37960,72473.08205236323,3851465.9298972255,0.0,862056747763.1337,"POLYGON ((961535.230213883 1945165.54807064, 961535.230213883 1945265.54807064, 961635.230213883 1945265.54807064, 961635.230213883 1945165.54807064, 961535.230213883 1945165.54807064))",강남구,서울특별시 강남구 대치동 1006-1번지,127.065829053,37.505061279,961626.092328508,1945176.3546797012,"덕유빌딩, 보성빌딩",1540.1,874.06,5444.91,26,0.6666666666666666,48583.0,65961.0,30.549999999999997,20690000.0,19.333333333333332,4.0
3645,37961,63766.506336982005,4041612.769751128,11.331846094595738,888668699431.4291,"POLYGON ((961535.230213883 1945265.54807064, 961535.230213883 1945365.54807064, 961635.230213883 1945365.54807064, 961635.230213883 1945265.54807064, 961535.230213883 1945265.54807064))",강남구,서울특별시 강남구 대치동 1005-3번지,127.065864272,37.506148737,961629.7617328158,1945296.9868020292,"굳후렌드빌딩, (주)케이티앤지 타워",11389.5,4707.45,74311.43,35,3.0,768618.0,712443.0,44.21666666666667,17976666.666666668,22.0,1.0
3646,37962,60672.393440714135,4178753.87597099,12.02052061455016,910796382898.0642,"POLYGON ((961535.230213883 1945365.54807064, 961535.230213883 1945465.54807064, 961635.230213883 1945465.54807064, 961635.230213883 1945365.54807064, 961535.230213883 1945365.54807064))",강남구,서울특별시 강남구 대치동 1001-18번지,127.065512088,37.507275811,961599.2118220202,1945422.172111008,"도원빌딩, 한석빌딩, 다온빌딩",2452.2,1221.91,8267.2,34,1.0,7965.0,102462.0,17.62,11106000.0,17.2,6.0
3647,37963,55000.58550988817,4246264.615859308,43.0503778665787,923124502553.9095,"POLYGON ((961535.230213883 1945465.54807064, 961535.230213883 1945565.54807064, 961635.230213883 1945565.54807064, 961635.230213883 1945465.54807064, 961535.230213883 1945465.54807064))",강남구,서울특별시 강남구 대치동 1001-8번지,127.065178188,37.507843476,961569.9920320204,1945485.2872312109,"동남유화빌딩, 태화빌딩, 승원산업사, 성보D2",4183.9,2329.6099999999997,16215.32,58,0.8571428571428571,169196.0,194051.0,22.442857142857143,14005714.285714285,23.571428571428573,6.0
