platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 서초구 방배동,준주거,01.06.04,1116.6,1556,202005,202005,7700000,"토:6,912 만"
서울특별시 강남구 대치동,3종일반,86.11.06,360,1542,202108,202108,7700000,"토:21,388 만"
서울특별시 마포구 도화동,준주거,94.08.19,1142.1,1596.8,20201,202010,7600000,"토:6,654 만"
서울특별시 강남구 신사동,일반상업,07.07.05,381,1095,202203,202203,7600000,"토:19,875 만
건:25 만"
서울특별시 강남구 논현동,노선상업,90.02.20,254,1089,202207,202207,7600000,"토:29,921 만"
서울특별시 중구 필동1가,일반상업,69.10.15,622,1570,202002,202002,7500000,"토:12,057 만"
서울특별시 강남구 삼성동,3종일반,09.04.22,339,604,202109,202109,7456800,"토:21,818 만
건:100 만"
서울특별시 서초구 방배동,3종일반,96.03.13,700.6,3343.2,202107,202107,7375000,"토:10,535 만"
서울특별시 서초구 반포동,일반상업,21.01.26,184,1186,202101,202101,7300000,"토:37,095 만
건:400 만"
서울특별시 서초구 반포동,3종일반,92.03.26,656,3182,202101,202101,7300000,"토:11,128 만"
서울특별시 강동구 상일동,준주거,13.09.13,1035.5,6482,202005,202005,7200000,"토:5,542 만
건:225 만"
서울특별시 종로구 숭인동,일반상업,93.02.19,1003,4974,202103,202103,7150000,"토:7,128 만"
서울특별시 강남구 청담동,노선상업,07.11.02,267,291,202106,202106,7123000,"토:26,623 만
건:50 만"
서울특별시 강동구 성내동,일반상업,92.07.21,633.1,3025,202102,202102,7000000,"토:11,058 만"
서울특별시 중구 남산동3가,1종일반,82.07.05,1686.7,2754,202202,202202,7000000,"토:4,151 만"
서울특별시 서초구 서초동,일반상업,20.03.27,169,1265.9,202204,202204,7000000,"토:37,780 만
건:486 만"
서울특별시 강남구 대치동,3종일반,88.04.25,720,2698,202009,202009,6900000,"토:9,583 만"
서울특별시 서초구 서초동,3종일반,21.11.25,419.2,2414.5,202108,202108,6830000,"토:13,996 만
건:400 만"
서울특별시 동대문구 청량리,2종일반,70.06.29,1978.3,2182,202105,202105,6805000,"토:3,440 만"
서울특별시 중구 남대문로1,일반상업,70.12.11,176.6,2688,202002,202002,6800000,"토:38,636 만"
서울특별시 중구 순화동,2종일반,99.02.27,683,4479,202103,202103,6790000,"토:9,941 만"
서울특별시 강남구 역삼동,일반상업,76.05.27,100,287,202205,202205,6752495,"토:67,524 만"
서울특별시 강서구 화곡동,일반상업,86.04.19,752,471,202008,202008,6700000,"토:8,909 만"
서울특별시 송파구 삼전동,3종일반,83.10.14,728.6,1830.8,202204,202204,6700000,"토:9,203 만"
서울특별시 성동구 성수동2,준공업,67.07.05,414,303,202204,202204,6624000,"토:16,000 만"
서울특별시 구로구 고척동,준공업,97.03.31,1319,1502,202204,202204,6594500,"토:4,999 만"
서울특별시 종로구 종로6가,일반상업,83.08.27,637,3955,202201,202201,6575100,"토:10,321 만"
서울특별시 용산구 한남동,일반상업,01.09.28,547.5,855,202003,202003,6540000,"토:11,956 만"
서울특별시 성동구 성수동2,준공업,69.12.22,701,1547,202011,202011,6500000,"토:9,272 만"
서울특별시 용산구 이촌동,2종일반,17.07.22,530.9,3194,202204,202204,6500000,"토:9,980 만
건:379 만"
서울특별시 성동구 성수동2,준공업,76.04.22,183,289,202302,202302,6400000,"토:17,067 만"
서울특별시 서초구 잠원동,3종일반,96.07.11,841.5,197,202001,202001,6399740,"토:7,609 만"
서울특별시 종로구 관철동,일반상업,11.10.13,294.7,2227,202008,202008,6300000,"토:20,102 만
건:175 만"
서울특별시 강남구 신사동,3종일반,91.05.11,280,1136,202201,202201,6300000,"토:22,500 만"
서울특별시 강남구 역삼동,일반상업,11.04.08,344,4306,202202,202202,6292914,"토:16,728 만
건:125 만"
서울특별시 송파구 가락동,일반상업,,353,0,202107,202107,6200000,"토:17,563 만"
서울특별시 강남구 대치동,2종일반,85.10.12,361,265,202202,202202,6160000,"토:17,063 만"
서울특별시 송파구 방이동,3종일반,19.02.01,440,1805,202106,202106,6150000,"토:12,555 만
건:346 만"
서울특별시 강남구 신사동,3종일반,06.12.05,249,1108,202201,202201,6050000,"토:24,297 만"
서울특별시 동작구 노량진동,3종일반,90.09.24,609,1386,20221,202210,6010000,"토:9,868 만"
서울특별시 강남구 청담동,일반상업,06.10.26,217,899,202111,202111,6000000,"토:27,649 만"
서울특별시 강남구 역삼동,일반상업,17.09.22,101,1094,202208,202208,6000000,"토:55,053 만
건:401 만"
서울특별시 서초구 반포동,일반상업,78.11.17,240.8,469,202103,202103,5950000,"토:24,791 만"
서울특별시 강남구 신사동,3종일반,10.07.23,272,1281,202102,202102,5930000,"토:21,212 만
건:125 만"
서울특별시 서초구 서초동,일반상업,18.04.24,201,2008,202202,202202,5890000,"토:28,304 만
건:100 만"
서울특별시 강서구 공항동,3종일반,71.01.20,1397,1367,202109,202109,5789363,"토:4,144 만"
서울특별시 중랑구 상봉동,준주거,94.08.24,1202.3,5438,202007,202007,5700000,"토:4,765 만"
서울특별시 강남구 논현동,노선상업,84.01.30,285,1228,202011,202011,5700000,"토:20,000 만"
서울특별시 금천구 가산동,준공업,74.11.02,1068,68,202112,202112,5660000,"토:5,299 만"
서울특별시 강남구 삼성동,3종일반,91.12.28,288,1320,202004,202004,5650000,"토:19,618 만"
서울특별시 강남구 논현동,일반상업,84.12.04,232,1000,202006,202006,5650000,"토:24,353 만"
서울특별시 송파구 방이동,일반상업,08.10.09,282,3393,202008,202008,5610000,"토:15,767 만
건:342 만"
서울특별시 용산구 한남동,일반상업,93.10.13,599.2,938.6,202004,202004,5513123,"토:9,203 만"
서울특별시 서초구 서초동,일반상업,03.12.19,178,1525,202103,202103,5500000,"토:30,898 만"
서울특별시 강남구 논현동,일반상업,94.09.07,228,1454,20211,202110,5500000,"토:24,122 만"
서울특별시 서초구 서초동,일반상업,80.09.20,133.2,293,20211,202110,5500000,"토:41,353 만"
서울특별시 서초구 잠원동,3종일반,92.07.03,383,1972,20221,202210,5460900,"토:14,258 만"
서울특별시 서초구 방배동,3종일반,95.11.29,687,5642,202104,202104,5400000,"토:7,860 만"
서울특별시 송파구 방이동,3종일반,92.03.31,436,2744,202204,202204,5400000,"토:12,385 만"
서울특별시 서초구 서초동,일반상업,16.08.05,201,228.4,202211,202211,5400000,"토:26,634 만
건:204 만"
서울특별시 서초구 서초동,3종일반,08.01.16,342,1661,202208,202208,5302700,"토:15,262 만
건:50 만"
서울특별시 강남구 논현동,일반상업,85.11.09,474,2223,202007,202007,5300000,"토:11,181 만"
서울특별시 서초구 방배동,3종일반,20.07.15,272,1170,202112,202112,5300000,"토:18,011 만
건:342 만"
서울특별시 강남구 논현동,3종일반,75.10.15,319,469,202105,202105,5285004,"토:16,567 만"
서울특별시 강남구 도곡동,일반상업,07.06.11,174,1323,202104,202104,5200000,"토:29,504 만
건:50 만"
서울특별시 강남구 논현동,일반상업,06.03.30,269,1603,202108,202108,5170000,"토:19,219 만"
서울특별시 강남구 청담동,노선상업,06.12.14,228,913,202006,202006,5100000,"토:21,444 만
건:230 만"
서울특별시 서초구 서초동,3종일반,91.12.30,458,907,202011,202011,5100000,"토:11,135 만"
서울특별시 서대문구 북가좌,3종일반,79.01.17,1350,3238,202012,202012,5070000,"토:3,755 만"
서울특별시 구로구 개봉동,준공업,91.09.27,1015,3141,202108,202108,5050000,"토:4,975 만"
서울특별시 강서구 등촌동,3종일반,19.02.18,859,1542,202202,202202,5050000,"토:5,295 만
건:325 만"
