,grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist,pw_dist,final_cal
76,36165,0.5103167972640292,0.5340179135762618,0.551559253447929,4.643602048780461,36,0.7810249675906655,3.6267691396527075,9.728115971776782,54.56847134639483
94,36736,1.111697590233222,0.9483909541300889,0.5260155471145431,2.953356571291335,37,1.7,5.020706171195269,9.762286983987591,58.61366560408123
52,36565,0.853412944637631,1.02085667082739,0.3641556141669905,3.83710976419253,37,1.3892443989449805,5.330683248041567,9.762286983987591,58.61366560408123
95,36737,0.7644370990625298,0.31808826609813146,0.5646432500289373,4.379436736531222,37,1.74928556845359,7.6608854811695535,9.762286983987591,58.61366560408123
33,36509,1.1258512723968155,0.8373543994114268,0.21618693498391628,2.2106099002560886,38,1.2529964086141667,2.7698862658678003,9.793898997623057,34.20485911474281
53,36564,0.5273497019345337,0.6311255517391736,0.32158417528169825,2.368533103287272,38,1.3416407864998738,3.177720615545322,9.793898997623057,34.20485911474281
121,36798,1.2981508991026505,0.21755732135711364,0.571614743152152,2.532230191962374,38,1.7888543819998317,4.529791075124168,9.793898997623057,34.20485911474281
123,36797,0.7420465308809833,0.30095892374984956,0.5698408288708499,2.9109695684218897,39,1.746424919657298,5.083789794656038,9.813470822480394,54.56346555307903
20,36454,1.3066102811170652,1.5831542362347752,0.22568468229990732,3.6759592488591477,39,1.16619037896906,4.2868683095018705,9.813470822480394,54.56346555307903
145,36862,0.5275851077185748,0.26203125575122194,0.6182939420932171,3.800036143833036,39,1.9235384061671346,7.3095154674861025,9.813470822480394,54.56346555307903
12,36926,0.3062403376789609,0.20643385359067787,0.6372403096280344,2.089248216849801,40,2.0124611797498106,4.204530931271739,9.766409624066561,55.31836859135723
11,36925,0.9135340194701224,0.5948644584318195,0.6178122343256655,2.6932853994375905,40,1.969771560359221,5.30515698374289,9.766409624066561,55.31836859135723
128,36799,0.5178395388321437,0.19538629085358541,0.5488011699789952,4.076113466008643,40,1.835755975068582,7.482749650282873,9.766409624066561,55.31836859135723
30,36991,0.287041258654046,0.2077964705671952,0.7138259142260444,2.7878830286948153,41,2.147091055358389,5.985838714296093,9.714033946181772,63.87085178870162
29,36990,0.795342860290801,0.18862293023428942,0.6608261657217736,2.9866891086930587,41,2.1023796041628637,6.279154266091649,9.714033946181772,63.87085178870162
27,36988,0.6945694166826796,0.4344336145395402,0.6489533567941218,3.684399370282479,41,2.024845673131659,7.460340123005486,9.714033946181772,63.87085178870162
55,37056,0.5326279948263457,0.5096621080303756,0.7470573515667934,2.0941056077204534,42,2.23606797749979,4.6825624909264425,9.696185082095187,48.871671061146046
51,37054,0.7445638356839743,0.28687013043119447,0.6677398965592626,2.100179210094578,42,2.1540659228538015,4.523924468350745,9.696185082095187,48.871671061146046
49,37053,0.7110768452680347,0.4826906378748493,0.7050515893049556,2.791182536796887,42,2.118962010041709,5.914409758564448,9.696185082095187,48.871671061146046
77,37123,0.5974092653932728,0.25235422742313285,0.770244467160725,2.277289426100505,43,2.3259406699226015,5.296840093351866,9.6942877577096,64.45565100814663
76,37122,0.37273006858407337,0.4370195566233347,0.7392293677449794,3.016111974930878,43,2.2847319317591723,6.891007338885797,9.6942877577096,64.45565100814663
50,37055,1.3362032138855016,0.21800311131424197,0.6540754809516246,3.537633644973846,43,2.1931712199461306,7.758636296869766,9.6942877577096,64.45565100814663
72,37193,0.6551662582972906,0.30582362310136835,0.854210763290991,3.2553694205216237,44,2.416609194718914,7.866955673839339,9.68350464999613,84.4840226249414
76,37124,0.6754384907979346,0.47112039556577195,0.8596470670870062,3.7578487265384903,44,2.3706539182259396,8.908558807668829,9.68350464999613,84.4840226249414
103,37194,0.4319974545352743,0.6999780634894954,0.9436393337437772,3.8208605105680404,44,2.4596747752497685,9.39807421759216,9.68350464999613,84.4840226249414
130,37262,0.7111812894383971,0.445301964888247,0.9690495092263923,2.287281058292302,45,2.5495097567963927,5.831445374651803,9.74034990206598,72.15082407058262
128,37261,1.3838408948241847,0.9770398424760931,0.9049436564564858,3.9535730501091644,45,2.5079872407968904,9.915510765232229,9.74034990206598,72.15082407058262
154,36734,0.6506213524918475,1.0150415048325623,0.45238498407325584,4.008105107910377,45,1.6155494421403511,6.475291971124501,9.74034990206598,72.15082407058262
89,36675,0.4806642069917234,0.5356715852778889,0.350508476456867,2.5381916122315085,46,1.5231546211727816,3.866058283592415,9.696259814243287,63.97845535390036
148,37329,0.7929440655630222,0.4393048281164031,1.0315450089491922,3.8789996733057808,46,2.6400757564888173,10.240852996922634,9.696259814243287,63.97845535390036
76,36618,0.48184072209588996,0.5724832742629122,0.27802032230942914,4.083654433902996,46,1.392838827718412,5.687872454524545,9.696259814243287,63.97845535390036
4,37396,1.077844060974795,0.7994441030251782,1.1179296115380342,3.1136548684811087,47,2.7730849247724096,8.634429376729182,9.694660926399418,97.61313872165631
