,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
29047,25160,POINT (954085.230213883 1957515.54807064),8964.009824058956,8776.501230926828,8582.270756942993,0.0,0.0,0.0
29048,25161,POINT (954085.230213883 1957615.54807064),8009.6105353975,7842.0021310426655,7681.18049133531,0.0,0.0,0.0
29049,25162,POINT (954085.230213883 1957715.54807064),7607.976631610214,7447.007836776542,7293.309964668689,0.0,0.0,0.0
29050,25163,POINT (954085.230213883 1957815.54807064),7208.65460845738,7054.502111192291,6908.01014841599,0.0,0.0,0.0
29051,25164,POINT (954085.230213883 1957915.54807064),6814.649143458278,6667.424442252564,6528.157108539266,0.0,0.0,0.0
29052,25165,POINT (954085.230213883 1958015.54807064),6428.394723830488,6288.150329443934,6156.071291487939,0.0,0.0,0.0
29053,25166,POINT (954085.230213883 1958115.54807064),6051.847362279559,5918.5826633184015,5793.608039628223,0.0,0.0,0.0
29054,25167,POINT (954085.230213883 1958215.54807064),5686.560107378904,5560.226996392047,5442.232147403979,0.0,0.0,0.0
29055,25168,POINT (954085.230213883 1958315.54807064),5333.74443422494,5214.252752739879,5103.07847431661,0.0,0.0,0.0
29056,25169,POINT (954085.230213883 1958415.54807064),4994.320150711858,4881.542974634034,4777.001178506956,0.0,0.0,0.0
29057,25170,POINT (954085.230213883 1958515.54807064),4668.956375821326,4562.735133332933,4464.614067956022,0.0,0.0,0.0
29064,25171,POINT (954185.230213883 1952415.54807064),38966.65204673918,38423.91579781009,37516.075147907846,13204199.812129486,7480361.405746521,9095790.948135402
29065,25172,POINT (954185.230213883 1952515.54807064),38786.47405964908,38249.586190466085,37342.66598908866,12834573.331140857,7272933.503621777,8856579.251183057
29066,25173,POINT (954185.230213883 1952615.54807064),36652.25354300832,36203.19739811986,35330.44137065066,12365133.985490292,7008960.571470599,8549360.14148816
29067,25174,POINT (954185.230213883 1952715.54807064),36235.86211721868,35785.86361249087,34916.31524647229,11811569.743648663,6691212.050554899,8178944.459147685
29068,25175,POINT (954185.230213883 1952815.54807064),34690.57738317526,34264.27644592116,33422.092405466676,11258753.039580347,6376192.409880281,7809882.592792972
29069,25176,POINT (954185.230213883 1952915.54807064),34846.69149808918,34398.67010657853,33535.69359616672,10697912.131741667,6056163.5509969,7433370.396559276
29070,25177,POINT (954185.230213883 1953015.54807064),34967.82463012413,34497.568579215294,33612.38782246945,10132388.506348185,5733628.694013517,7051601.710776478
29071,25178,POINT (954185.230213883 1953115.54807064),34558.53817748324,34070.66797275805,33185.370092136385,9533802.994672759,5387799.18244146,6640169.708772208
29072,25179,POINT (954185.230213883 1953215.54807064),35412.463250967456,34886.94997496668,33946.66521458931,8958243.318178214,5061598.89255907,6247625.042187258
29073,25180,POINT (954185.230213883 1953315.54807064),35479.73423448187,34930.241970990195,33962.72115498599,8352410.715814429,4720440.160130007,5833406.057042561
29074,25181,POINT (954185.230213883 1953415.54807064),33732.34758056896,33204.70148439958,32276.737971516966,7785680.648233162,4400821.677825646,5443541.200209869
29075,25182,POINT (954185.230213883 1953515.54807064),33354.67431472271,32812.88038037172,31878.60954195269,7235712.6097607035,4091111.570972289,5064133.049486825
29076,25183,POINT (954185.230213883 1953615.54807064),33198.462495242835,32634.660955011805,31682.873237560245,6709082.529086996,3794796.838565981,4700026.578189476
29077,25184,POINT (954185.230213883 1953715.54807064),33884.03611422514,33289.34510997745,32312.7019376453,6209735.304612012,3513953.1835556934,4354172.570151675
29078,25185,POINT (954185.230213883 1953815.54807064),32732.895664912943,31973.725485930987,31012.58464385793,5628810.956199206,3190084.0906217536,3957049.813605687
29079,25186,POINT (954185.230213883 1953915.54807064),32421.53128588288,31655.56810416881,30689.533935857453,5153460.7731945105,2915727.9001034256,3621395.548395609
29080,25187,POINT (954185.230213883 1954015.54807064),32585.18354531669,31786.486792660562,30838.530154872402,4752441.496160585,2690559.0413633403,3342596.707304387
29081,25188,POINT (954185.230213883 1954115.54807064),32820.305098636454,32025.49146426766,31071.81822080266,4379263.016025681,2480951.5496332673,3082846.3713557185
29082,25189,POINT (954185.230213883 1954215.54807064),32065.058601897545,31286.79199622196,30354.2585378495,3769943.603145549,2122342.6706498354,2653049.9514168943
29083,25190,POINT (954185.230213883 1954315.54807064),32348.98021296742,31500.602217233216,30563.8878049739,3468711.9995424994,1954194.46314791,2443347.910700984
29084,25191,POINT (954185.230213883 1954415.54807064),31051.64456365241,30240.61815488469,29351.417498182895,3088620.5466439635,1764161.3905103796,2203155.806000247
