,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
773,260930,씨티케이,코스닥시장상장법인,204,기타 화학제품 제조업,영업이익(손실),"-14,290,620,180","527,501,750","3,950,193,594",01144028,20010508,20423,서울특별시 서초구 효령로 234 씨티케이코스메틱스,01144028,씨티케이,260930,서울특별시,서초구,127.009848336,37.483476545
774,013990,아가방컴퍼니,코스닥시장상장법인,464,생활용품 도매업,영업이익(손실),"5,905,777,500","-3,910,670,133","-3,483,679,557",00138446,19790402,46414,서울특별시 강남구 테헤란로 207 아가방빌딩,00138446,아가방컴퍼니,013990,서울특별시,강남구,127.038721497,37.501716311
780,074430,아미노로직스,코스닥시장상장법인,467,기타 전문 도매업,영업이익(손실),"4,103,891,652","2,476,096,679","-761,038,280",00466428,19970903,467,서울특별시 강남구 역삼로 151 삼오빌딩3층 301호,00466428,아미노로직스,074430,서울특별시,강남구,127.035662716,37.494923298
784,002030,아세아,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,영업이익(손실),"228,865,744,338","146,952,544,905","158,437,631,946",00138701,19570427,715,서울특별시 강남구  논현로 430 아세아타워빌딩 14층,00138701,아세아,002030,서울특별시,강남구,127.038355470,37.499000997
785,183190,아세아시멘트,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",영업이익(손실),"128,646,922,022","75,305,385,497","81,159,969,547",00990165,20131002,23311,서울 강남구 역삼2동 726 아세아타워빌딩 14층,00990165,아세아시멘트,183190,서울,강남구,0,0
786,002310,아세아제지,유가증권시장상장법인,172,"골판지, 종이 상자 및 종이 용기 제조업",영업이익(손실),"93,875,118,756","65,707,649,110","71,117,330,003",00138729,19580307,172,서울특별시 강남구  논현로 430,00138729,아세아제지,002310,서울특별시,강남구,127.038355470,37.499000997
787,012170,아센디오,유가증권시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"-3,557,150,999","-3,464,251,994","-8,161,344,868",00145437,19770421,591,"서울특별시 강남구 언주로 729 8층(논현동, 마스터스빌딩)",00145437,아센디오,012170,서울특별시,강남구,127.034170655,37.519930111
792,227610,아우딘퓨쳐스,코스닥시장상장법인,204,기타 화학제품 제조업,영업이익(손실),"-7,721,456,887","-5,883,151,678","-20,663,704,456",01080687,20001218,20423,"서울특별시 강남구 테헤란로 508 해성2빌딩 (대치동, 해성2빌딩 15층)",01080687,아우딘퓨쳐스,227610,서울특별시,강남구,127.057985796,37.506824991
796,122900,아이마켓코리아,유가증권시장상장법인,468,상품 종합 도매업,영업이익,"45,420,682,449","40,515,731,617","52,038,830,520",00360142,20001208,46800,서울특별시 강남구 삼성로 512 삼성동빌딩 16층,00360142,아이마켓코리아,122900,서울특별시,강남구,127.056598198,37.508107446
797,339950,아이비김영,코스닥시장상장법인,855,일반 교습학원,영업이익(손실),"7,844,870,225","4,061,770,907","7,334,279,453",01414422,20191011,85503,"서울특별시 서초구 강남대로 279 4,5층(서초동, 백향빌딩)",01414422,아이비김영,339950,서울특별시,서초구,127.031757445,37.488106483
