,id,name,gu_nm,platplc,y,x,est_yyyymmdd,lcd,qr,count,x_5179,y_5179
802,1736, 버스정류장 앞,도봉구,서울특별시 도봉구 도봉로 528 버스정류장 앞,37.65224075,127.0370636,2018-10-27,12.0,0.0,12.0,959164.1242272143,1961517.3084694247
803,1737, 신창시장,도봉구,서울특별시 도봉구 덕릉로 249 하나은행 (창동점),37.63970184,127.0388336,2018-10-27,13.0,0.0,13.0,959313.4186170341,1960125.3934559454
804,1738, 창동주공17단지 상가앞,도봉구,서울특별시 도봉구 덕릉로 404 창동주공17단지 상가앞,37.6463089,127.052742,2018-12-14,10.0,0.0,10.0,960543.9937968327,1960852.4809207167
805,1741, 제일강산수산입구,도봉구,서울특별시 도봉구 도봉로 444 제일강산수산입구,37.64519882,127.0329819,2018-10-27,20.0,0.0,20.0,958800.1832833285,1960737.8167282962
806,1742, 북한산 코오롱 하늘채,도봉구,서울특별시 도봉구 우이천로 367 북한산 코오롱 하늘채,37.64889145,127.0230179,2018-12-14,10.0,0.0,10.0,957923.2483602781,1961151.9236050788
807,1743,창동19단지아파트 관리사무소앞,도봉구,서울특별시 도봉구 노해로70길 37 주공19단지아파트,37.65039062,127.0521927,2020-03-17,0.0,10.0,10.0,960497.69757479,1961305.5638655617
808,1744,도봉소방서 옆,도봉구,서울특별시 도봉구 도봉로 678 홈플러스데스코㈜방학점,37.66480255,127.0430298,2020-03-21,0.0,15.0,15.0,959697.2001407226,1962908.415739933
809,1746, 방학남부역 버스정류장,도봉구,서울특별시 도봉구 도봉로 696,37.66659546,127.0433655,2020-03-21,0.0,10.0,10.0,959727.7763325159,1963107.188886126
810,1748, 방학역 1번출구,도봉구,서울특별시 도봉구 도봉로 724,37.66898346,127.0437622,2020-03-21,0.0,7.0,7.0,959764.0521258321,1963371.9592973867
811,1749, ESA아파트 상가 앞,도봉구,서울특별시 도봉구 도봉로150길 43 ESA 아파트,37.66627121,127.04599,2020-03-21,0.0,10.0,10.0,959959.0673885548,1963070.090395521
812,1750, 창포원 남쪽 입구,도봉구,서울특별시 도봉구 마들로 916 방문자센터,37.68826675,127.0488968,2020-03-23,0.0,12.0,12.0,960227.1745960556,1965509.1891387647
813,1751, 창원초등학교 교차로,도봉구,서울특별시 도봉구 해등로12길 44 주공2단지아파트,37.6521225,127.0417023,2020-03-23,0.0,15.0,15.0,959573.2446612788,1961502.1795327486
814,1752, 창동 주공 4단지 입구 옆,도봉구,서울특별시 도봉구 덕릉로 357 주공4단지아파트,37.64548111,127.0485764,2020-03-17,0.0,10.0,10.0,960176.0708523766,1960762.4010002825
815,1754, 창동시장입구 사거리,도봉구,서울특별시 도봉구 도봉로 461 우림빌딩,37.64689636,127.033432,2020-03-17,0.0,11.0,11.0,958840.8275735681,1960925.9549848824
816,1756,서울북부광역등기국,도봉구,서울특별시 도봉구 노해로 327,37.6514473,127.0447083,2020-03-17,0.0,10.0,10.0,959838.0437902206,1961425.9771083228
817,1757,솔밭공원역 1번출구 앞,도봉구,서울특별시 도봉구 삼양로 590,37.65568542,127.013382,2020-03-25,0.0,10.0,10.0,957077.1275408118,1961910.0572477123
818,1758,솔밭공원역 1번출구 주변,도봉구,서울특별시 도봉구 삼양로 610 산수디앤씨,37.65727997,127.0137558,2020-03-25,0.0,10.0,10.0,957111.0165749398,1962086.796156483
819,1759,서울북부지방법원 앞,도봉구,서울특별시 도봉구 마들로 749 서울북부지방법원,37.67721939,127.0486374,2020-03-18,0.0,10.0,10.0,960198.4012703941,1964283.6282027976
820,1761,방학중학교 앞,도봉구,서울특별시 도봉구 시루봉로 188 방학중학교,37.66562271,127.0310898,2020-03-21,0.0,10.0,10.0,958644.59277631,1963004.6089857505
821,1762,북한산 한신휴플러스APT앞,도봉구,서울특별시 도봉구 도봉로136가길 73 북한산한신휴플러스아파트,37.65533829,127.0424194,2020-03-18,0.0,25.0,25.0,959638.2415621551,1961858.6511546094
822,1765,쌍문역 1번출구 주변,도봉구,서울특별시 도봉구 도봉로 496,37.64966965,127.035614,2020-03-18,0.0,10.0,10.0,959034.841174969,1961232.6862570397
823,1767,방학초등학교 앞,도봉구,서울특별시 도봉구 방학동 726-127,37.66250992,127.0332794,2020-03-21,0.0,10.0,10.0,958835.9860653052,1962658.2917884197
824,1768,신동아타워 버스정류소,도봉구,서울특별시 도봉구 방학로 217-1,37.66205215,127.0287552,2020-03-21,0.0,8.0,8.0,958436.7013000828,1962609.499442591
825,1770,도봉한신아파트 주변,도봉구,서울특별시 도봉구 도봉동 646-1,37.68473816,127.0500412,2020-07-30,0.0,15.0,15.0,960326.1949064545,1965117.217492474
826,1771,성원APT버스정류소,도봉구,서울특별시 도봉구 해등로 242-18 현대아파트,37.65796661,127.0300903,2020-03-18,0.0,15.0,15.0,958552.1850289957,1962155.6316832958
827,1772,시립도봉노인복지관 버스정류소,도봉구,서울특별시 도봉구 쌍문동 45-13,37.65805054,127.035759,2020-03-23,0.0,10.0,10.0,959052.2347506924,1962162.4531353067
828,1774,정의여중고 버스정류소,도봉구,서울특별시 도봉구 쌍문동 83-2,37.65134811,127.034729,2020-03-17,0.0,8.0,8.0,958957.6954376327,1961419.2922633146
829,1775,신원리베르텔 앞,도봉구,서울특별시 도봉구 창동 339,37.65128708,127.0455475,2020-03-17,0.0,15.0,15.0,959911.9851375762,1961407.842266846
830,4054, 창동한신아파트 버스정류소,도봉구,서울특별시 도봉구 도봉로110길 25 맞은편,37.64601898,127.0352707,2021-03-02,0.0,10.0,10.0,959002.5506055424,1960827.8076855012
831,4058, 다락원체육공원 전망대 입구,도봉구,서울특별시 도봉구 도봉구 도봉동 1-22,37.69101334,127.0491638,2021-03-02,0.0,15.0,15.0,960252.1815346117,1965813.8020299291
832,4062, 평화도봉공원 주변,도봉구,서울특별시 도봉구 방학동 710,37.66252136,127.0427094,2021-03-02,0.0,9.0,9.0,959667.707810084,1962655.463161899
833,4064, 신창아파트 입구 앞,도봉구,서울특별시 도봉구 도봉구 덕릉로62길 14,37.64051056,127.0408249,2021-03-02,0.0,10.0,10.0,959489.541926436,1960214.2561519078
834,4065, 창동역 1번출구 앞,도봉구,서울특별시 도봉구 도봉구 창동 1-12,37.65373611,127.0492935,2021-03-02,0.0,10.0,10.0,960243.7334962233,1961677.9588523188
835,4073,방아골종합사회복지관,도봉구,서울특별시 도봉구 방학동 606-5,37.66927338,127.0324326,2021-04-16,0.0,10.0,10.0,958765.0411590762,1963409.047518063
836,4074, 도봉구육아종합지원센터(창동),도봉구,서울특별시 도봉구 도봉구 우이천로4길 24-5,37.63342667,127.0411606,2021-03-03,0.0,10.0,10.0,959515.3155158897,1959428.1810233844
837,4076, 도봉통합복지센터 뒤 중랑천 변,도봉구,서울특별시 도봉구 창동,37.65999603,127.0512772,2020-12-23,0.0,10.0,10.0,960422.0372208452,1962371.6358484388
838,4077, 도봉제1교,도봉구,서울특별시 도봉구 도봉동 86-1,37.67984772,127.0503845,2021-04-29,0.0,6.0,6.0,960353.8617889659,1964574.492827319
